User_ID,h_linear,h_dB
200,3.0641501870629916e-08,-119.99592431503487
201,4.2248356175397835e-08,-119.99225508528718
202,3.4292776454655327e-08,-119.99489572141923
203,6.991008154886674e-09,-119.99978774725476
204,2.5868530234035995e-09,-119.99997093794191
205,5.9089034972651564e-09,-119.99984836811839
206,2.7211549524611723e-08,-119.99678537649578
207,1.3313614484668975e-09,-119.99999230203592
208,1.4886676814865374e-09,-119.99999037547398
209,9.500116554739148e-09,-119.99960805729899
210,1.554602569425594e-08,-119.99895052862117
211,5.147634311825105e-09,-119.99988492156916
212,7.700968508132418e-09,-119.99974244965941
213,2.1161609186046187e-08,-119.99805560512803
214,1.0825594070602622e-08,-119.99949106497425
215,9.228757714896273e-10,-119.99999630111682
216,2.2138154503006503e-09,-119.99997871537147
217,6.8712037908171425e-09,-119.999794959469
218,3.5964161081029065e-09,-119.99994382780807
219,5.481687389718759e-09,-119.99986950126069
220,1.324824353889435e-07,-119.92443560329903
221,8.455461934300234e-09,-119.99968951296913
222,1.8765233446942504e-09,-119.99998470704222
223,1.7211998850974845e-08,-119.99871358052685
224,2.166847749405483e-09,-119.99997960892668
225,1.159088890547709e-08,-119.99941657017564
226,8.896600836656118e-08,-119.9657611275561
227,6.343630985396931e-09,-119.99982523623328
228,2.8150076304698644e-09,-119.99996558547787
229,2.8822357026177736e-09,-119.99996392207973
230,4.355600546923192e-09,-119.99991760966303
231,1.622172343239545e-09,-119.9999885718028
232,9.508007916761845e-09,-119.99960740591612
233,1.6049981363015377e-08,-119.99888139322684
234,1.113102802748756e-08,-119.99946194340274
235,3.3522775719297107e-09,-119.9999511952813
236,9.20253373988346e-09,-119.99963222622355
237,3.171282257008427e-09,-119.99995632308827
238,3.149856265091942e-09,-119.99995691127637
239,3.355538275677917e-10,-119.99999951100021
240,9.506147202065569e-09,-119.99960755955527
241,8.207167210150686e-09,-119.99970747953941
242,7.80798333286576e-09,-119.99973524216045
243,1.7947290850669016e-08,-119.998601339924
244,4.199229468110235e-09,-119.99992341923559
245,1.155214836683152e-08,-119.99942046342456
246,5.598389159897202e-09,-119.99986388572509
247,6.505369577782904e-09,-119.99981621118798
248,1.441851054607986e-08,-119.99909722407153
249,1.6126045723266362e-09,-119.99998870621488
250,5.2481346147081266e-09,-119.99988038427887
251,6.490734176187055e-08,-119.98174176778272
252,7.4295355052354695e-09,-119.99976028475716
253,2.6433111892925436e-09,-119.99996965554215
254,4.876542358703729e-09,-119.99989672311051
255,7.112935135041515e-09,-119.99978027927583
256,5.940330598772183e-09,-119.9998467509186
257,3.7873195384678925e-08,-119.9937750348762
258,2.7358435964696894e-09,-119.99996749387375
259,1.3370076686276363e-08,-119.99922372912226
260,6.715046070560385e-09,-119.99980417302596
261,5.113516256297146e-08,-119.98865886779282
262,2.994574284232435e-08,-119.99610722018801
263,1.0309567423570224e-07,-119.95408365001654
264,2.656763468345306e-09,-119.99996934590067
265,5.231792686340393e-09,-119.99988112804083
266,1.7068796143547917e-09,-119.99998734711788
267,2.382870425359925e-09,-119.99997534051897
268,1.1121039584900118e-08,-119.99946290856137
269,2.564917420643477e-09,-119.99997142872263
270,7.035319279594307e-08,-119.97855730547982
271,2.744038902370231e-09,-119.99996729883655
272,2.918585895481058e-09,-119.9999630063298
273,1.3706486339369631e-08,-119.9991841772823
274,1.1738775871027006e-06,-116.23790233623205
275,6.414498641276497e-09,-119.99982130976841
276,8.864684100134118e-09,-119.99965873340801
277,3.07083348715504e-09,-119.99995904614396
278,8.084826293698813e-10,-119.99999716126041
279,4.423450729435807e-10,-119.99999915021971
280,2.7602456047250563e-08,-119.9966923894059
281,5.8938968968695994e-09,-119.9998491373136
282,1.3734081621438954e-09,-119.99999180812814
283,9.452353226396398e-10,-119.99999611971162
284,1.2617200061077091e-08,-119.99930868540802
285,7.454506309798733e-09,-119.99975867071946
286,5.471820478817013e-09,-119.9998699706203
287,6.344924582674159e-10,-119.99999825161467
288,4.524658115289944e-09,-119.99991108983741
289,1.1240380518581116e-08,-119.99945132028526
290,7.882622651958042e-10,-119.99999730147994
291,1.4149475278661547e-08,-119.99913059624858
292,2.4640142207193126e-08,-119.99736403932704
293,3.148134004875991e-08,-119.99569794843228
294,1.492222623270465e-08,-119.99903305181422
295,6.668260334917937e-10,-119.99999806887979
296,1.0189407237723441e-08,-119.99954912141648
297,1.4167110032974623e-08,-119.99912842800754
298,2.5835044424874103e-10,-119.99999971013037
299,4.626516477584306e-09,-119.99990704176057
300,1.0020000687964641e-07,-119.95661408984574
301,8.857444192304612e-09,-119.99965929059265
302,2.40339140404887e-08,-119.9974921132668
303,2.8878404537506184e-09,-119.99996378163075
304,2.357932284822485e-09,-119.99997585396856
305,5.513325613492669e-07,-118.84733201754091
306,4.609038413125589e-09,-119.99990774278214
307,4.814796418839405e-08,-119.98994372229184
308,1.2108844385111574e-08,-119.99936326625007
309,3.386058700236318e-09,-119.99995020671406
310,1.432917126390265e-09,-119.99999108285122
311,1.2378620553986834e-08,-119.99933458047336
312,9.215200146560655e-10,-119.99999631197656
313,3.4656806151815594e-09,-119.99994783745437
314,1.2191744614163924e-09,-119.99999354471083
