User_ID,h_linear,h_dB
127,4.775850124696595e-09,-119.99990094401129
128,2.37506464887501e-08,-119.99755086502739
129,4.5532474967008784e-09,-119.99990996272874
130,1.6523972565134815e-09,-119.99998814196715
131,4.6106461385270285e-09,-119.99990767840924
132,1.176138699992555e-08,-119.9993992810175
133,1.2495578743368866e-08,-119.99932194775296
134,1.4004631631689726e-08,-119.99914830302332
135,2.8132955717983602e-09,-119.9999656273261
136,4.26667288840343e-09,-119.99992093959136
137,2.4082568849290806e-10,-119.99999974812219
138,3.0076799275585303e-08,-119.99607308784857
139,5.266324102457496e-09,-119.99987955370227
140,6.122206224576757e-09,-119.99983722335926
141,3.837424662441913e-09,-119.9999360470123
142,1.2028394957015597e-09,-119.99999371653274
143,6.771100893166986e-09,-119.99980089006714
144,2.9556703426861733e-08,-119.9962076652244
145,1.5447934506195842e-09,-119.99998963606615
146,2.3590780223042676e-08,-119.99758371531776
147,2.0284973571727136e-09,-119.99998212968079
148,9.883431480501381e-09,-119.99957579223661
149,9.707827184194816e-09,-119.99959073187595
150,2.8630280109813483e-09,-119.99996440133387
151,9.802976714955748e-10,-119.99999582650359
152,7.1071811632006315e-09,-119.99978063460695
153,6.464252462508919e-09,-119.99981852706773
154,1.2124181963802014e-08,-119.99936165231888
155,3.6811539905142756e-09,-119.9999411496108
156,9.054556128388617e-10,-119.99999643943873
157,5.149355294538243e-09,-119.99988484461012
158,2.3957385757817103e-09,-119.99997507346473
159,2.30227515939568e-09,-119.99997698040832
160,1.0096520355597898e-08,-119.99955730397065
161,2.97183450530443e-09,-119.9999616441479
162,2.3852160626792446e-09,-119.99997529194687
163,5.041435713910082e-09,-119.99988962079556
164,5.0176291013093914e-08,-119.98907968182996
165,1.3502225799986106e-09,-119.9999920823801
166,6.98931524711626e-08,-119.97883613672448
167,8.849579314938521e-10,-119.99999659882175
168,3.688380945367205e-09,-119.99994091831175
169,1.2693820082885975e-09,-119.9999930020854
170,4.224312561961348e-10,-119.99999922500953
171,6.874622962877485e-10,-119.99999794750562
172,1.4307522852692277e-08,-119.99911106754948
173,1.1620735766962588e-10,-119.99999994135223
174,2.111180050836383e-09,-119.9999806431854
175,3.3444826525382254e-08,-119.99514488603879
176,6.133782838722666e-09,-119.99983660719298
177,2.3741529386678475e-09,-119.99997552061677
178,4.6612458517706347e-08,-119.99057422741882
179,6.014253566492938e-09,-119.99984291311576
180,1.4570285681443009e-09,-119.99999078023217
181,1.7687146998448456e-08,-119.99864158659248
182,7.405678699735928e-09,-119.9997618217312
183,2.413216625973809e-10,-119.99999974708365
184,3.5906303197979183e-09,-119.99994400839725
185,3.9585813787480907e-10,-119.9999993194447
186,4.104839681838079e-09,-119.99992682326092
187,1.0222246871675782e-08,-119.9995462105949
188,2.2564612856412032e-09,-119.99997788744231
189,1.3292415425329366e-08,-119.99923272021157
190,1.3589328017008757e-09,-119.99999197989834
191,6.075408331199218e-09,-119.99983970231838
192,3.532119857335845e-09,-119.99994581832001
193,1.5168900538124422e-08,-119.99900082270003
194,5.841576373673381e-09,-119.99985180381641
195,2.0079103586514746e-09,-119.99998249056728
196,2.7925660114593896e-09,-119.99996613200292
197,9.478977545352508e-09,-119.99960979952829
198,5.899868486710917e-10,-119.99999848828857
